,price (CLP),rooms,size (m2),address
906,600000,2.0,64.0,"(mgg) El Encanto, Reñaca 2d2b, Reñ..."
907,590000,2.0,65.0,"Avenida Costa De Montemar 460, Con..."
909,350000,2.0,40.0,"Villa Alemana, Cam. Troncal 2300, ..."
910,600000,2.0,60.0,"Las Pinpinelas 765, Concón, Chile,..."
912,600000,2.0,64.0,"(mgg) El Encanto, Reñaca 2d2b, Reñ..."
913,590000,2.0,65.0,"Avenida Costa De Montemar 460, Con..."
915,350000,2.0,40.0,"Villa Alemana, Cam. Troncal 2300, ..."
916,600000,2.0,60.0,"Las Pinpinelas 765, Concón, Chile,..."
918,360000,1.0,32.0,"General Cruz 151, Valparaíso, Chil..."
919,460000,3.0,67.0,"(nmd11264) Sendero Sur, Gregorio M..."
920,800000,3.0,92.0,"Edmundo Eluchans, 1800 - 2100, Reñ..."
921,300000,2.0,47.0,"Pasaje Esmeralda 2526, Estación La..."
922,480000,2.0,41.0,"Av Central, Montemar, Concón"
923,750000,3.0,90.0,"Viña Del Mar, Libertad, Viña Del M..."
924,450000,2.0,60.0,Oportunidad Arriendo Año Corrido V...
925,460000,3.0,70.0,"Avenida Lomas De La Luz 3894, Cura..."
927,450000,1.0,47.0,"Av Edmundo Eluchans 1615, Viña Del..."
928,350000,2.0,37.0,"Estero Maitenlahue 900 - 1200, Val..."
930,550000,2.0,73.0,"Riveros 1 - 300, Viña Del Mar, Chi..."
931,700000,2.0,85.0,Soleado Y Acogedor Departamento De...
933,600000,3.0,70.0,"Isla Picton 245, Viña Del Mar, Chi..."
934,230000,1.0,20.0,"22 Norte 1995, Santa Inés, Viña De..."
935,500000,3.0,65.0,"Camino El Yeco, 0, Algarrobo"
936,550000,2.0,66.0,"Av. José Manuel Balmaceda 591, Viñ..."
938,420000,2.0,55.0,"Av. Isidoro Dubournais 185, El Qui..."
941,380000,3.0,57.0,Lago Villarica |  Camino Internaci...
943,370000,2.0,59.0,"Cerro Larraín - Polanco, Valparaíso"
944,600000,2.0,75.0,"Etchevers, Quinta Vergara, Viña De..."
945,390000,1.0,35.0,"Rodimenia 402, 2542542 Viña Del Ma..."
946,385000,2.0,40.0,"Covadonga 173, Marga Marga, Limach..."
947,560000,2.0,50.0,Las Perlas  | Edmundo Eluchans | R...
