,price (CLP),rooms,size (m2),address
505,400000,2.0,50.0,"Camino Troncal 2300, Villa Alemana..."
506,610000,3.0,83.0,"Vicuña Mackenna 170, Viña Del Mar,..."
507,680000,2.0,68.0,"Calle Cornisa, Costas De Montemar,..."
509,480000,1.0,50.0,"Costas De Montemar, Costas De Mont..."
510,650000,2.0,50.0,"Arenales 1 - 300, Concón, Chile, C..."
511,620000,2.0,86.0,"Costa Montemar Concón, Costas De M..."
512,430000,1.0,39.0,"Las Encinas 1195, Los Romeros - Lo..."
513,430000,3.0,54.0,"Las Acacias 1441, Peñablanca, Vill..."
514,485000,2.0,66.0,"Las Encinas 1160, Los Romeros - Lo..."
515,430000,2.0,68.0,"Cerro Placeres, Cerro Placeres, Va..."
516,429000,1.0,36.0,"9 Norte 900 - 1200, Viña Del Mar, ..."
517,390000,3.0,57.0,"Chacabuco 960, Centro De Quillota,..."
518,480000,2.0,65.0,"Camino Los Ingleses, Valparaíso, C..."
519,420000,2.0,43.0,"Jorgue Kenrick, Valparaíso"
520,420000,2.0,50.0,"Camino Troncal 2300, Villa Alemana..."
521,410000,2.0,50.0,"Camino Troncal 2300, Villa Alemana..."
522,470000,2.0,54.0,"Quillota, Chile, Centro De Quillot..."
523,430000,1.0,40.0,"Reñaca Norte, Concón, Chile, Reñac..."
524,510000,2.0,60.0,"Cerro Placeres, Valparaíso"
525,330000,2.0,50.0,Presidente Gabriel González Videla...
527,540000,2.0,1.0,"Imperial, Los Romeros - Los Manant..."
528,470000,2.0,54.0,"Quillota, Chile, Centro De Quillot..."
529,430000,1.0,40.0,"Reñaca Norte, Concón, Chile, Reñac..."
530,510000,2.0,60.0,"Cerro Placeres, Valparaíso"
531,330000,2.0,50.0,Presidente Gabriel González Videla...
533,540000,2.0,1.0,"Imperial, Los Romeros - Los Manant..."
534,580000,2.0,65.0,"Reñaca Alto, Viña Del Mar"
535,350000,1.0,54.0,Crisol Arrienda Depto 1 Dorm. Año ...
536,370000,2.0,51.0,"Pasaje Porvenir 1255, Villa Aleman..."
537,680000,2.0,58.0,"Entrelomas, Concón, Chile, Costas ..."
538,400000,3.0,50.0,"Villa Dulce, Viña Del Mar"
539,450000,2.0,40.0,"Central 600 - 900, Concón, Chile, ..."
540,440000,3.0,55.0,"Penablanca, Villa Alemana, Chile, ..."
541,540000,2.0,70.0,"Buenos Aires 600 - 900, Quilpué, C..."
542,810000,2.0,64.0,Departamento Amoblado 2 Dormitorio...
543,280000,2.0,45.0,"Rafael Fabres, Estación Las Améric..."
544,430000,3.0,73.0,"Los Pinos, Quilpué, Chile, Preside..."
546,470000,1.0,34.0,"3 Norte 900 - 1200, Viña Del Mar, ..."
547,650000,2.0,60.0,"Entrelomas 110, Concón, Chile, Cos..."
548,370000,2.0,1.0,"Reñaca Alto, Reñaca Alto, Viña Del..."
549,570000,2.0,55.0,"Centro De Viña Del Mar, Viña Del M..."
550,420000,3.0,60.0,"Los Pinos, Quilpué"
552,430000,1.0,50.0,Hermoso Departamento Porteño Vista...
553,400000,2.0,40.0,"Camino Troncal 2300, Villa Alemana..."
554,530000,2.0,56.0,"Costa De Montemar, Costas De Monte..."
555,650000,3.0,75.0,Camino San Gerónimo Frente A San A...
556,700000,2.0,55.0,"Costa De Montemar, Costas De Monte..."
557,340000,1.0,30.0,"Camino Del Sol 2400, Paso Hondo, Q..."
558,550000,2.0,57.0,"Departamento En Parque Inglés, Val..."
559,550000,3.0,70.0,"Playa Ancha Centro, Playa Ancha, V..."
560,370000,1.0,50.0,"Las Encinas 1234, Los Romeros - Lo..."
